room_count,bathroom_count,size,price,log_price,category_encoded,city_encoded,region_encoded,type_encoded
3.0,2.0,140.0,1000.0,3.0,0,0,37,0
1.0,1.0,80.0,900.0,2.9542425094393248,0,0,137,0
5.0,3.0,250.0,410000.0,5.612783856719736,5,0,137,1
1.0,1.0,90.0,90.0,1.954242509439325,0,0,7,0
1.0,1.0,240.0,2500000.0,6.3979400086720375,3,0,5,1
1.0,1.0,90.0,90.0,1.954242509439325,0,0,7,0
2.0,1.0,83.0,900.0,2.9542425094393248,1,0,7,0
3.0,2.0,155.0,300000.0,5.477121254719663,0,0,137,1
1.0,1.0,95.0,750.0,2.8750612633917,0,0,107,0
7.0,2.0,401.0,550000.0,5.740362689494244,5,0,5,1
-1.0,-1.0,-1.0,316000.0,5.4996870826184034,6,0,7,1
3.0,2.0,175.0,440000.0,5.643452676486188,0,0,7,1
3.0,1.0,170.0,350000.0,5.544068044350276,0,0,70,1
2.0,1.0,120.0,700.0,2.845098040014257,0,0,91,0
2.0,1.0,150.0,1400.0,3.146128035678238,0,0,70,0
1.0,1.0,50.0,500.0,2.6989700043360187,0,0,70,0
11.0,3.0,518.0,900000.0,5.954242509439325,5,0,6,1
3.0,3.0,400.0,400.0,2.6020599913279625,2,0,137,0
2.0,1.0,70.0,480.0,2.681241237375587,0,0,19,0
2.0,2.0,140.0,240000.0,5.380211241711606,0,0,137,1
3.0,2.0,130.0,950.0,2.977723605288848,0,0,107,0
3.0,1.0,85.0,900.0,2.9542425094393248,0,0,7,0
1.0,1.0,45.0,500.0,2.6989700043360187,0,0,107,0
2.0,1.0,84.0,169000.0,5.227886704613674,1,0,6,1
-1.0,-1.0,-1.0,12000.0,4.079181246047625,6,0,187,1
1.0,1.0,80.0,750.0,2.8750612633917,0,0,137,0
2.0,2.0,90.0,800.0,2.903089986991944,1,0,107,0
4.0,1.0,117.0,550.0,2.740362689494244,0,0,187,0
1.0,1.0,70.0,830.0,2.9190780923760737,0,0,107,0
2.0,1.0,100.0,300000.0,5.477121254719663,5,0,5,0
4.0,1.0,100.0,170000.0,5.230448921378274,0,0,19,1
5.0,3.0,400.0,3700.0,3.568201724066995,5,0,137,0
4.0,3.0,350.0,3500.0,3.544068044350276,5,0,137,0
4.0,3.0,174.0,500000.0,5.698970004336019,0,0,137,1
2.0,1.0,107.0,220000.0,5.342422680822207,0,0,137,1
2.0,2.0,122.0,268000.0,5.4281347940287885,0,0,137,1
6.0,5.0,520.0,1350000.0,6.130333768495007,5,0,137,1
2.0,2.0,115.0,310000.0,5.491361693834273,0,0,137,1
1.0,1.0,500.0,10000.0,4.0,4,0,137,1
4.0,2.0,150.0,197.0,2.294466226161593,2,0,7,0
1.0,1.0,85.0,1000.0,3.0,0,0,70,0
3.0,2.0,200.0,355000.0,5.550228353055094,0,0,70,1
2.0,1.0,70.0,360.0,2.5563025007672877,3,0,7,0
2.0,1.0,90.0,135000.0,5.130333768495007,0,0,19,1
-1.0,-1.0,-1.0,25000.0,4.3979400086720375,6,0,7,1
3.0,3.0,187.0,465000.0,5.6674529528899535,0,0,70,1
3.0,3.0,191.0,370000.0,5.568201724066995,0,0,70,1
3.0,2.0,200.0,650.0,2.812913356642856,5,0,5,0
2.0,1.0,90.0,800.0,2.903089986991944,0,0,5,0
2.0,1.0,120.0,270000.0,5.431363764158987,0,0,70,1
3.0,2.0,169.0,410000.0,5.612783856719736,0,0,70,1
4.0,3.0,609.0,1150000.0,6.060697840353612,5,0,70,1
3.0,2.0,130.0,1200.0,3.0791812460476247,0,0,137,0
-1.0,-1.0,-1.0,130000.0,5.113943352306837,6,0,224,1
3.0,1.0,417.0,130000.0,5.113943352306837,5,0,187,1
3.0,2.0,290.0,690000.0,5.838849090737256,5,0,7,1
2.0,1.0,120.0,350.0,2.544068044350276,5,0,37,0
3.0,2.0,160.0,310.0,2.4913616938342726,5,0,187,0
1.0,2.0,50.0,28000.0,4.447158031342219,4,0,91,1
5.0,2.0,125.0,185000.0,5.267171728403014,5,0,7,1
4.0,1.0,200.0,280000000.0,8.44715803134222,4,0,137,1
5.0,3.0,380.0,750000.0,5.8750612633917,5,0,137,1
3.0,1.0,110.0,750.0,2.8750612633917,5,0,137,0
4.0,2.0,150.0,1600.0,3.204119982655925,0,0,6,0
2.0,1.0,90.0,500.0,2.6989700043360187,0,0,6,0
2.0,2.0,124.0,284000.0,5.453318340047038,0,0,37,1
3.0,1.0,100.0,380.0,2.57978359661681,0,0,6,0
1.0,1.0,400.0,80000.0,4.903089986991944,4,0,161,1
1.0,1.0,62.0,80.0,1.9030899869919435,0,0,7,0
2.0,1.0,60.0,180000.0,5.2552725051033065,0,0,70,1
-1.0,-1.0,-1.0,150000.0,5.176091259055681,6,0,187,1
2.0,2.0,420.0,2500.0,3.397940008672037,4,0,137,0
2.0,1.0,100.0,700.0,2.845098040014257,0,0,91,0
2.0,1.0,95.0,850.0,2.929418925714293,0,0,70,0
1.0,1.0,250.0,1200.0,3.0791812460476247,4,0,137,0
2.0,2.0,120.0,700.0,2.845098040014257,0,0,137,0
3.0,1.0,100.0,450.0,2.6532125137753435,0,0,7,0
1.0,1.0,72.0,1900000.0,6.278753600952829,0,0,19,1
